Datetime,Tweet ID,Tweet,Location,Username
2009-12-31 22:03:56+00:00,7249111431,@bankofamerica if I deposit cash that ish is available to use IMMEDIATELY!! And u can dep cash thru ATM up till 8pm! Lord I smiss them!,,BlaxBarB
2009-12-31 17:46:04+00:00,7241614990,Absolute WORST big bank out there... Do NOT use them! @BankofAmerica,,jacobtallman
2009-12-29 06:05:58+00:00,7150480732,On that note Im goneeee gotta be @BankOfAmerica early *sigh I need sleeping pills. (Or really good sex) Au Revoir.. Bonne Nuit *,,Trallega
2009-12-28 21:47:55+00:00,7135956604,Some people..... @bankofamerica !,,Andrew_Bolton
2009-12-28 03:20:09+00:00,7110141395,@BeamMeUp_ NAhh starbucks is done lol Just @BankofAmerica now lmao,,Trallega
2009-12-21 23:40:26+00:00,6909520080,My credit card # was stolen and @BankofAmerica was on it! Now time to go break in the new one. If only I could find a parking space,,aprilholmes
2009-12-21 17:39:25+00:00,6899887811,"Whoo hoo!! RT @ShredderFeeder: I just wrote ""Good Riddance"" on the stub for my LAST @bankofamerica credit card payment.  #fuckers",,kenshinkan
2009-12-19 01:45:25+00:00,6815623708,#ff fcuk u friday @msmary @presfreeman @higherone @bankofamerica @watergas&light @PUB @myhataz @myphoneyfriends @2.41gas @daradioritenow,,I_AM_CS
2009-12-18 23:18:01+00:00,6811778034,"@GuruOfSales used to use them, now I roll with @bankofamerica",,CheeseKing
2009-12-18 22:05:42+00:00,6809914916,Welcome to our new CEO Brian Moynihan! (He's on the board of directors at the BGC of Boston already my fav) @bankofamerica,,josephVelasquez
2009-12-18 03:21:23+00:00,6784992263,@aaronnapoli i saw that yesterday! They stole it from me! @bankofamerica and #keepthechange,,cig_big
2009-12-17 16:50:24+00:00,6768227650,"Congrats to Brian Moynihan, new CEO of @bankofamerica! Great having u Brian at the press club recently! #REITour",,natdisability
2009-12-17 13:59:39+00:00,6764286381,OMG I am leaving @bankofamerica... been w/ yaw since I was 18 & yaw trying to play w/ my money! Well forget you then!,,1KayR0se
2009-12-17 01:27:52+00:00,6749313382,@bankofamerica is playing w my money!!,,1KayR0se
2009-12-16 18:58:03+00:00,6738694582,Do you bank @BankofAmerica? You may want to!  Free museum admissions.... http://lissasworld.com/forums/showthread.php?tid=79,,lissa_212
2009-12-16 01:24:08+00:00,6714932432,@BankofAmerica: Your website is terrible. I should not need to reset my passcode every single month just to pay my mortgage. Security fail.,,waxtablet
2009-12-15 20:00:38+00:00,6706023528,I'm @bankofamerica and these fools are playing with my presidents. #soblown,,AfricanPassport
2009-12-14 22:04:42+00:00,6674900201,"@pinksage And no mobile banking in our state. Infuriating and pathetic. Humbug, @BankOfAmerica HUMBUG!",,RalphJodiceJr
2009-12-14 16:48:24+00:00,6666609020,@bankofamerica. YOU SUCK,,phenomx3
2009-12-12 00:46:25+00:00,6584565521,RT @KandiConnection:Let's make this an extra special Christmas 4 them.There's been a fund set up 4 them @BankOfAmerica Acct # 3340 2806 9813,,Prissy_Kryssi
2009-12-11 20:38:52+00:00,6578033664,Love the @bankofamerica text customer service feature! So easy to use.,,SarahLindsay
2009-12-09 23:31:59+00:00,6512591557,@bankofamerica doesnt do motorcycle loans.  LAME,,bradcrowell
2009-12-09 19:18:22+00:00,6505638420,@JohnnieWalk Why you always get customer service on twitter?  @bankofamerica never responded to me a while back!,,JirafaBo
2009-12-09 16:36:16+00:00,6501138140,RT @jardoism ummm you mean 16 billion... that @wachovia and @bankofamerica get from our fees..&lt;--- that's a shame.,,JayeElle
2009-12-09 16:32:43+00:00,6501032197,ummm you mean 16 billion... that @wachovia and @bankofamerica get from our fees... RT @KoolGeekz: ...built with the 2.5 million...,,jaRDOism
2009-12-09 14:27:11+00:00,6497508368,F%*K @BankOfAmerica bad accounting practices & non-transparent account details are obscene! U should ALL take your banking elseware PLZ RT,,Therealdjjd
2009-12-09 01:32:03+00:00,6482045025,RT @Avi8tedSlater: #in2010 #nevertrust @BankofAmerica ----- no bullshit they be fucking wit my money!!,,CharisseMilano
2009-12-09 01:28:18+00:00,6481929168,#in2010 #nevertrust @BankofAmerica,,Avi8tedSlater
2009-12-03 22:04:12+00:00,6316556492,"Not happy with @bankofamerica. We r ready to switch!  If u can recommend a great bank to use for small business, please let me know :)",,phindymindy
2009-12-02 17:13:03+00:00,6274905584,Okay I Wake Up & There Is Another Problem With @bankofamerica Dnt Have Time For This Shit For Real Time I Call Them ;),,IamTamiaBanks
2009-12-01 19:24:56+00:00,6244202978,#SHEILA DIXON JUST GOT OFFERED A JOB @BANKOFAMERICA IN THE FRAUD DEPARTMENT..,,MrMottz20
2009-12-01 15:47:30+00:00,6238391368,chillin in the line @BANKOFAMERICA really busy here!!!! can't wait till Bootcamp today with @hannsmith ; @cassymichelle ; @rattatattat,,jil_bug
2009-11-25 16:44:33+00:00,6054381336,"Walking around downtown Richmond waiting for Ashby. Just passed @BankofAmerica Plaza, feels like I never left #ATL",,AmyWratchford
2009-11-21 15:24:02+00:00,5920571257,"@bankofamerica charges $.20 per $100 deposited after the first $10,000. Way to screw your customers! http://bit.ly/8KBOmO",,cplater
2009-11-20 22:44:15+00:00,5902771620,@bankofamerica why haven't you released my funds yet?Don't you realize I have kids to feed? I think 48 hours is enough time to clear a check,,triciahonea
2009-11-20 22:25:50+00:00,5902316777,derek @bankofamerica http://bit.ly/6Okyzc,,doejo
2009-11-20 22:04:44+00:00,5901799093,"Hey @bankofamerica, I hope you take that $35 dollars you just stole from me and shove it up your ass.  You seriously disgust me daily.",,Brandazzle
2009-11-20 00:00:47+00:00,5873417023,why when you make a deposit to @bankofamerica the money is not available until 2 days later. I deposited the check to be able to use it.,,triciahonea
2009-11-19 21:16:43+00:00,5869048535,Very unhappy with @bankofamerica - can anyone recommend a good solid banking institution? (via @MaralynB) I second that.. They DONT care.,,Will_Austin
2009-11-19 21:13:43+00:00,5868969928,"@bankofamerica Do you train your customer service reps to be assholes, or is that something you look for in the interview process? Bye Bye",,Will_Austin
2009-11-19 18:20:02+00:00,5864501194,I can't figure out why @bankofamerica can't close a loan in 4 months,,JustinLLandis
2009-11-19 01:47:47+00:00,5844752445,#Uknowitsarecession when you have a @bankofamerica and you make sure everything you buy is $2.01 just so you can keep the change smh,,LatonioLive
2009-11-19 01:37:14+00:00,5844469532,#Uknowitsarecession when you follow @bankofamerica,,LatonioLive
2009-11-18 20:55:27+00:00,5836923792,Very unhappy with @bankofamerica - can anyone recommend a good solid banking institution?,,MaralynB
2009-11-17 22:04:10+00:00,5807758493,http://twitpic.com/pwthm - Good ol' days @bankofamerica =),,CubanDragon05
2009-11-17 01:23:13+00:00,5782509465,"Petition @bankofamerica to Stop Charging Punitive Fees http://act.ly/15i RT to sign #actly #bankofamerica (Thanks, @JosKrandel)",,popgloss
2009-11-16 22:58:23+00:00,5778653622,And @BankofAmerica wins for first Christmas card of the year. Whoa dude. That was way too early. Still 39 days until Christmas.,,fgonzalez1978
2009-11-15 10:18:47+00:00,5733472304,petition @bankofamerica to Stop Charging Punitive Fees 2 those that can least afford it http://act.ly/15i RT to sign #actly #bankofamerica,,AuPairSelect
2009-11-15 04:21:23+00:00,5727949070,@KosherKook petition @bankofamerica to Stop Charging Punitive Fees http://act.ly/15i RT to sign #actly #bankofamerica,,JosKrandel
